date,open,high,low,close,volume
2023-12-29 19:45:00,163.39,163.64,163.31,163.31,217.0
2023-12-29 19:30:00,163.3,163.5,163.3,163.5,106.0
2023-12-29 19:15:00,163.39,163.39,163.3,163.3,129.0
2023-12-29 19:00:00,163.55,163.55,163.39,163.4,689838.0
2023-12-29 18:45:00,163.4,163.4,163.4,163.4,5.0
2023-12-29 18:30:00,163.55,163.55,163.55,163.55,689832.0
2023-12-29 18:15:00,163.27,163.4,163.27,163.4,36.0
2023-12-29 18:00:00,163.26,163.26,163.26,163.26,44.0
2023-12-29 17:45:00,163.25,163.47,163.25,163.25,7.0
2023-12-29 17:30:00,163.24,163.24,163.23,163.23,5.0
2023-12-29 17:15:00,155.4425,163.55,155.4425,163.24,72.0
2023-12-29 17:00:00,163.49,163.49,163.49,163.49,3.0
2023-12-29 16:45:00,163.3,163.49,163.23,163.49,125.0
2023-12-29 16:30:00,163.23,163.31,163.23,163.23,167.0
2023-12-29 16:15:00,163.55,163.55,163.3,163.31,677.0
2023-12-29 16:00:00,163.59,163.59,163.13,163.55,2193540.0
2023-12-29 15:45:00,163.46,163.68,163.31,163.59,362791.0
2023-12-29 15:30:00,163.57,163.59,163.46,163.47,83530.0
2023-12-29 15:15:00,163.53,163.57,163.375,163.56,57618.0
2023-12-29 15:00:00,163.39,163.57,163.31,163.5565,54374.0
2023-12-29 14:45:00,163.3,163.43,163.28,163.385,49212.0
2023-12-29 14:30:00,163.29,163.355,163.27,163.3,62197.0
2023-12-29 14:15:00,163.24,163.36,163.235,163.28,51131.0
2023-12-29 14:00:00,163.22,163.29,163.17,163.25,46969.0
2023-12-29 13:45:00,163.18,163.27,163.13,163.19,40927.0
2023-12-29 13:30:00,163.04,163.21,163.04,163.19,35192.0
2023-12-29 13:15:00,163.13,163.14,162.9871,163.02,35466.0
2023-12-29 13:00:00,163.05,163.22,163.02,163.11,46012.0
2023-12-29 12:45:00,162.9899,163.09,162.94,163.05,37644.0
2023-12-29 12:30:00,162.94,163.04,162.91,163.0,38935.0
2023-12-29 12:15:00,162.8901,162.98,162.83,162.95,47471.0
2023-12-29 12:00:00,163.07,163.15,162.9,162.93,52806.0
2023-12-29 11:45:00,163.27,163.32,163.06,163.06,47943.0
2023-12-29 11:30:00,163.27,163.3649,163.2,163.28,35643.0
2023-12-29 11:15:00,163.4,163.49,163.21,163.26,71050.0
2023-12-29 11:00:00,163.42,163.49,163.38,163.44,48952.0
2023-12-29 10:45:00,163.71,163.71,163.34,163.3674,86085.0
2023-12-29 10:30:00,163.7776,163.7874,163.67,163.71,67833.0
2023-12-29 10:15:00,163.785,163.82,163.7,163.8,39503.0
2023-12-29 10:00:00,163.81,163.91,163.74,163.8,40943.0
2023-12-29 09:45:00,163.8681,163.88,163.6201,163.83,42339.0
2023-12-29 09:30:00,163.75,164.18,163.715,163.88,127333.0
2023-12-29 09:15:00,163.6888,163.83,163.6888,163.83,43.0
2023-12-29 09:00:00,163.6,163.8,163.6,163.8,61.0
2023-12-29 08:45:00,163.8,163.9386,163.63,163.72,138.0
2023-12-29 08:30:00,163.75,164.0,163.75,163.9,32.0
2023-12-29 08:15:00,163.68,163.75,163.6,163.75,108.0
2023-12-29 08:00:00,163.99,164.05,163.6,164.0,102.0
2023-12-29 07:45:00,163.8,163.8,163.68,163.68,6.0
2023-12-29 07:30:00,163.9,163.9,163.68,163.68,12.0
2023-12-29 07:15:00,163.74,163.77,163.74,163.77,10.0
2023-12-29 07:00:00,163.9,163.9,163.48,163.51,358.0
2023-12-29 06:45:00,163.76,163.76,163.75,163.75,7.0
2023-12-29 06:30:00,163.9,163.9,163.9,163.9,1.0
